Neuron Name	Soma_Surface_total_sum	N_stems_total_sum	
PRC5080626D.CNG.swc	1535.6	10.0	
PRC5071212J.CNG.swc	804.53	5.0	
BE81H.CNG.swc	263.16	3.0	
BE72A.CNG.swc	643.26	4.0	
BE70B.CNG.swc	533.12	8.0	
CR-0324a.CNG.swc	617.37	5.0	
PRC2071212G.CNG.swc	891.88	6.0	
BE69E.CNG.swc	523.75	4.0	
CTh5080328H.CNG.swc	1140.75	10.0	
PE09C.CNG.swc	1411.37	5.0	
BE23A.CNG.swc	611.71	3.0	
PRC2071122AM.CNG.swc	723.78	12.0	
BE85G.CNG.swc	876.81	3.0	
BE103B.CNG.swc	924.47	5.0	
BE106F.CNG.swc	430.73	3.0	
BE99G.CNG.swc	435.39	4.0	
AAC-0328d.CNG.swc	455.53	7.0	
PRC2080328G.CNG.swc	595.9	9.0	
BE100B.CNG.swc	723.51	7.0	
BE105A.CNG.swc	1050.39	7.0	
BE104E.CNG.swc	645.6	8.0	
BE80G.CNG.swc	827.16	6.0	
BE53D.CNG.swc	451.97	10.0	
BE71E.CNG.swc	1158.6	4.0	
BE75B.CNG.swc	493.17	3.0	
PRC2080527J.CNG.swc	617.73	7.0	
PRC2080305A.CNG.swc	726.82	6.0	
BE116A.CNG.swc	753.92	10.0	
BE71D.CNG.swc	604.62	8.0	
BE56E.CNG.swc	441.22	6.0	
BE91C.CNG.swc	463.36	7.0	
PRC2080912A.CNG.swc	659.75	7.0	
AAC-M0320-2-3.CNG.swc	734.11	9.0	
PRC2080813G.CNG.swc	86.92	7.0	
LV44B.CNG.swc	647.63	6.0	
AAC-M0323-2-1.CNG.swc	478.03	9.0	
BE101A.CNG.swc	823.55	4.0	
PRC5080527K.CNG.swc	794.46	7.0	
LV29C.CNG.swc	1213.44	3.0	
PRC2080328K.CNG.swc	710.33	6.0	
CTh5080328J.CNG.swc	890.74	8.0	
BE30A.CNG.swc	837.6	8.0	
BE37C.CNG.swc	630.77	9.0	
BE45F.CNG.swc	599.46	6.0	
BE79B.CNG.swc	536.98	10.0	
CTh5080501M.CNG.swc	1024.15	7.0	
CS14D.CNG.swc	596.3	12.0	
PE04B.CNG.swc	1197.15	6.0	
BE80C.CNG.swc	425.24	7.0	
BE66B.CNG.swc	659.89	7.0	
CTh5080305B.CNG.swc	1166.52	9.0	
BE15B.CNG.swc	269.24	7.0	
CS13A.CNG.swc	481.19	10.0	
BE110A.CNG.swc	469.43	8.0	
BE89A.CNG.swc	563.19	4.0	
BE54C.CNG.swc	426.92	3.0	
BE17A.CNG.swc	520.14	6.0	
PRC5080813J.CNG.swc	780.71	9.0	
BE62D.CNG.swc	481.76	8.0	
AAC-0526c.CNG.swc	1354.39	4.0	
CRAAC-M0320-1-1.CNG.swc	625.57	5.0	
BE71B.CNG.swc	2528.82	4.0	
AAC-0330b.CNG.swc	311.66	6.0	
PRC2080319L.CNG.swc	620.34	9.0	
BE64C.CNG.swc	438.96	3.0	
BE53C.CNG.swc	912.67	6.0	
BE104A.CNG.swc	1457.66	8.0	
PRC2080910A.CNG.swc	652.78	7.0	
PRC5080912C.CNG.swc	1136.11	5.0	
BE71A.CNG.swc	1191.72	7.0	
BE64A.CNG.swc	280.26	5.0	
AAC-H0320.CNG.swc	489.74	5.0	
PRC2080430C.CNG.swc	559.64	5.0	
CTh5080328L.CNG.swc	1524.79	8.0	
CTh5080306F.CNG.swc	961.71	7.0	
BE102G.CNG.swc	390.71	3.0	
BE95B.CNG.swc	1685.87	6.0	
CS16D.CNG.swc	608.14	7.0	
BE64F.CNG.swc	816.63	6.0	
BE81D.CNG.swc	343.3	3.0	
BE12D.CNG.swc	521.1	6.0	
BE68A.CNG.swc	565.74	4.0	
BE33B.CNG.swc	561.71	9.0	
PRC5080910C.CNG.swc	1044.65	9.0	
BE68D.CNG.swc	859.86	4.0	
BE55C.CNG.swc	682.8	8.0	
PRC2080529E.CNG.swc	749.47	6.0	
BE100C.CNG.swc	298.77	5.0	
BE46D.CNG.swc	432.35	7.0	
BE36A.CNG.swc	748.45	6.0	
CTh5080522D.CNG.swc	906.42	11.0	
BE37A.CNG.swc	705.6	6.0	
BE95C.CNG.swc	1454.96	4.0	
BE94E.CNG.swc	883.83	4.0	
CRAAC-0524b.CNG.swc	603.78	12.0	
PRC2080501L.CNG.swc	140.14	6.0	
PRC5071122E.CNG.swc	943.76	7.0	
PRC5071212B.CNG.swc	1104.36	8.0	
BE83F.CNG.swc	282.71	3.0	
PRC2080522C.CNG.swc	621.27	5.0	
PRC2071122D.CNG.swc	827.24	8.0	
PRC2080523A.CNG.swc	674.95	6.0	
CTh5080319N.CNG.swc	1250.26	9.0	
PRC2080306E.CNG.swc	614.28	6.0	
BE117A.CNG.swc	579.45	11.0	
BE116B.CNG.swc	504.66	8.0	
BE33G.CNG.swc	759.42	7.0	
BE53A.CNG.swc	1086.34	4.0	
BE38D.CNG.swc	479.48	5.0	
BE06C.CNG.swc	492.64	4.0	
BE88D.CNG.swc	689.02	5.0	
BE16C.CNG.swc	924.47	8.0	
BE63C.CNG.swc	377.85	6.0	
BE63F.CNG.swc	301.18	4.0	
BE62C.CNG.swc	355.96	6.0	
BE26E.CNG.swc	420.38	4.0	
BE43D.CNG.swc	420.74	5.0	
49-LM-LoDe.CNG.swc	1008.24	4.0	
cell2zr.CNG.swc	610.26	6.0	
cell4zr.CNG.swc	913.84	6.0	
69-SR-LoDe.CNG.swc	482.33	5.0	
10-LM-HiDe.CNG.swc	366.79	4.0	
cell6zr.CNG.swc	876.5	6.0	
32-SR-HiDe.CNG.swc	1073.35	2.0	
34-SR-HiDe.CNG.swc	821.92	4.0	
cell1zr.CNG.swc	547.77	8.0	
cell7zr.CNG.swc	676.3	8.0	
102-LM-HiDe.CNG.swc	384.58	7.0	
104-SR-HiDe.CNG.swc	597.98	5.0	
85-LM-HiDe.CNG.swc	746.13	3.0	
cell3zr.CNG.swc	812.0	5.0	
042602-LM-LoDe.CNG.swc	578.38	4.0	
118-LM-HiDe.CNG.swc	2713.17	4.0	
cell8zr.CNG.swc	606.76	7.0	
103-SR-LoDe.CNG.swc	1153.67	3.0	
700-LM-LoDe.CNG.swc	543.3	5.0	
98-SR-HiDe.CNG.swc	1704.67	4.0	
cell5zr.CNG.swc	1051.85	6.0	
Rat-ngf-01-18-05.asc	257.79	8.0	
Rat-ngf-5-15-05.ASC	352.99	9.0	
Rat-ngf-12-29-04.asc	356.24	8.0	
Rat-ngf-8-17-04.ASC	188.24	15.0	
Rat-ngf-12-15-04.asc	1910.67	12.0	
Rat-ngf-9-22-04.ASC	0.0	9.0	
Rat-ngf-11-11-04.asc	1756.77	16.0	
c30573.CNG.swc	572.77	7.0	
c12971.CNG.swc	704.89	7.0	
c82061.CNG.swc	1266.81	8.0	
c12866.CNG.swc	760.43	12.0	
c70863.CNG.swc	116.95	7.0	
cd0351.CNG.swc	389.74	7.0	
c60361.CNG.swc	592.87	8.0	
c91662.CNG.swc	250.11	6.0	
c81462.CNG.swc	203.02	8.0	
c82063.CNG.swc	984.73	10.0	
c31162.CNG.swc	1276.18	8.0	
c12363.CNG.swc	387.29	7.0	
c12877.CNG.swc	712.54	7.0	
c20466.CNG.swc	358.15	7.0	
c73162.CNG.swc	235.54	6.0	
c12873.CNG.swc	586.33	8.0	
cd2351.CNG.swc	245.54	5.0	
c10861.CNG.swc	1295.88	9.0	
c80764.CNG.swc	412.66	6.0	
c81463.CNG.swc	644.07	8.0	
c72965.CNG.swc	259.33	7.0	
c80761.CNG.swc	244.6	7.0	
c40165.CNG.swc	1626.58	9.0	
c62564.CNG.swc	177.75	6.0	
c53063.CNG.swc	439.06	5.0	
c11471.CNG.swc	464.83	6.0	
c11571.CNG.swc	705.46	8.0	
c30465.CNG.swc	129.54	7.0	
c31164.CNG.swc	695.24	10.0	
c20467.CNG.swc	903.19	9.0	
c12973.CNG.swc	706.5	7.0	
c62563.CNG.swc	571.07	7.0	
c73166a.CNG.swc	452.16	8.0	
c91665.CNG.swc	464.45	4.0	
c11563.CNG.swc	117.26	8.0	
cd1152.CNG.swc	311.55	6.0	
c73167b.CNG.swc	847.0	8.0	
c70963.CNG.swc	241.23	6.0	
c73166b.CNG.swc	331.83	5.0	
c12979.CNG.swc	1140.83	7.0	
c20465.CNG.swc	114.74	8.0	
c73164.CNG.swc	515.02	8.0	
c10261.CNG.swc	423.1	7.0	
c60463.CNG.swc	335.71	7.0	
c9236e.CNG.swc	325.4	6.0	
c12861.CNG.swc	379.52	7.0	
c8076e.CNG.swc	218.56	8.0	
240709c6.CNG.swc	3197.3	4.0	
270809c3.CNG.swc	2669.59	6.0	
270409c2.CNG.swc	199.11	5.0	
pairC3-C4-final-1.CNG.swc	7063.46	5.0	
230409c2.CNG.swc	1716.4	5.0	
pairC3-C4-final-2.CNG.swc	4165.41	6.0	
140110cF.CNG.swc	1058.78	4.0	
100709c7.CNG.swc	1358.88	3.0	
070110cA.CNG.swc	696.58	4.0	
190809c4.CNG.swc	2177.69	4.0	
230309c2.CNG.swc	1301.1	7.0	
040209c1.CNG.swc	3518.7	17.0	
040809c6.CNG.swc	4724.16	5.0	
210409c1.CNG.swc	8.02	9.0	
K-03.CNG.swc	1082.24	7.0	
K-Nintra-11.CNG.swc	700.36	5.0	
K-16.CNG.swc	689.24	9.0	
Nintra-12.CNG.swc	203.91	10.0	
K-Nintra-16.CNG.swc	1361.82	10.0	
GFP-26.CNG.swc	1220.11	10.0	
K-12.CNG.swc	257.12	22.0	
GFP-09.CNG.swc	442.22	7.0	
K-01.CNG.swc	1213.18	22.0	
K-Nintra-08.CNG.swc	808.48	6.0	
K-09.CNG.swc	666.62	8.0	
K-10.CNG.swc	444.25	9.0	
K-Nintra-12.CNG.swc	721.86	4.0	
b-cat-05.CNG.swc	1415.95	4.0	
GFP-25.CNG.swc	899.81	7.0	
K-18.CNG.swc	1091.86	5.0	
Nintra-08.CNG.swc	543.22	8.0	
K-22.CNG.swc	448.6	6.0	
K-Nintra-09.CNG.swc	530.98	5.0	
K-19.CNG.swc	792.11	5.0	
GFP-08.CNG.swc	579.27	5.0	
K-Nintra-13.CNG.swc	724.13	5.0	
b-cat-09.CNG.swc	644.27	8.0	
Nintra-13.CNG.swc	168.66	5.0	
K-Nintra-01.CNG.swc	695.67	2.0	
GFP-17.CNG.swc	832.8	6.0	
Nintra-06.CNG.swc	1554.86	6.0	
GFP-13.CNG.swc	619.17	3.0	
K-Nintra-20.CNG.swc	455.2	5.0	
GFP-01.CNG.swc	673.23	5.0	
K-Nintra-17.CNG.swc	630.8	5.0	
K-Nintra-21.CNG.swc	1161.33	3.0	
b-cat-02.CNG.swc	1146.06	10.0	
K-20.CNG.swc	761.72	7.0	
b-cat-03.CNG.swc	800.27	8.0	
b-cat-06.CNG.swc	1136.73	6.0	
K-Nintra-15.CNG.swc	667.78	8.0	
K-Nintra-14.CNG.swc	799.31	4.0	
GFP-15.CNG.swc	13.99	3.0	
GFP-20.CNG.swc	1080.54	7.0	
Nintra-07.CNG.swc	875.11	5.0	
K-04.CNG.swc	579.45	5.0	
b-cat-17.CNG.swc	680.73	4.0	
K-Nintra-07.CNG.swc	804.2	9.0	
Nintra-04.CNG.swc	28.81	4.0	
K-13.CNG.swc	783.27	4.0	
